Country,UN Share (%),Equal Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,0.5102,1.02,0.51,0.51
Canada,2.543,0.5102,1.02,0.51,0.51
Denmark,0.531,0.5102,1.02,0.51,0.51
Finland,0.386,0.5102,1.02,0.51,0.51
Japan,6.93,0.5102,1.02,0.51,0.51
New Zealand,0.302,0.5102,1.02,0.51,0.51
Norway,0.653,0.5102,1.02,0.51,0.51
Russian Federation,2.094,0.5102,1.02,0.51,0.51
Sweden,0.822,0.5102,1.02,0.51,0.51
Total,16.301,4.5918,9.18,4.59,4.59
