Group,Countries (number),total_allocation,state_component,iplc_component
Least Developed Countries (LDC),44,247.80708183888126,123.90354091944063,123.90354091944063
Other Countries,152,752.1929181611188,376.0964590805594,376.0964590805594
Total,196,1000,500,500
