Group,Countries (number),total_allocation,state_component,iplc_component
Small Island Developing States (SIDS),39,304.6319977266268,152.3159988633134,152.3159988633134
Other Countries,157,695.3680022733732,347.6840011366866,347.6840011366866
Total,196,1000,500,500
