region,Countries (number),total_allocation,state_component,iplc_component
Africa,54,394.1460642227906,197.0730321113953,197.0730321113953
Asia,37,239.84086388178463,119.92043194089231,119.92043194089231
Americas,29,194.37340153452686,97.18670076726343,97.18670076726343
Oceania,14,117.0787155441887,58.53935777209435,58.53935777209435
Europe,8,54.5609548167093,27.28047740835465,27.28047740835465
Total,142,1000.0000000000001,500.00000000000006,500.00000000000006
