Country,UN Share (%),Equal Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,0.5102,0.26,0.13,0.13
Canada,2.543,0.5102,0.26,0.13,0.13
Denmark,0.531,0.5102,0.26,0.13,0.13
Finland,0.386,0.5102,0.26,0.13,0.13
Japan,6.93,0.5102,0.26,0.13,0.13
New Zealand,0.302,0.5102,0.26,0.13,0.13
Norway,0.653,0.5102,0.26,0.13,0.13
Russian Federation,2.094,0.5102,0.26,0.13,0.13
Sweden,0.822,0.5102,0.26,0.13,0.13
Total,16.301,4.5918,2.3,1.15,1.15
