party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Algeria,6.911133347204084,0.006251776072747941,0.030449220548135984,0.0,5.845410628019325,1.0657227191847596,0.0,False,False,Band 3: 0.01% - 0.1%
Egypt,5.493728779881142,0.005399261153736857,0.012726274318205163,0.0,5.048309178743962,0.44541960113718077,0.0,False,False,Band 4: 0.1% - 1.0%
Libya,6.632726520314181,0.006251776072747941,0.022494739779853043,0.0,5.845410628019325,0.7873158922948567,0.0,False,False,Band 3: 0.01% - 0.1%
Morocco,6.045110028278025,0.006251776072747941,0.005705697150248595,0.0,5.845410628019325,0.19969940025870087,0.0,False,False,Band 3: 0.01% - 0.1%
Sudan,7.7440594787894605,0.007388462631429384,0.023881340525799634,0.0,6.908212560386473,0.8358469184029872,0.0,False,True,Band 2: 0.001% - 0.01%
Tunisia,5.914927318192284,0.006251776072747941,0.0019861911477988387,0.0,5.845410628019325,0.06951669017295935,0.0,False,False,Band 3: 0.01% - 0.1%
Burundi,7.982505150604046,0.008525149190110827,0.00032830451001206347,0.0,7.971014492753623,0.011490657850422224,0.0,False,True,Band 1: <= 0.001%
Comoros,8.741077976714129,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,7.971014492753623,0.0008327147297365947,0.7692307692307692,True,True,Band 1: <= 0.001%
Djibouti,6.91858457942747,0.007388462631429384,0.0002963434011713252,0.0,6.908212560386473,0.010372019040996383,0.0,False,True,Band 2: 0.001% - 0.01%
Eritrea,8.025236347704169,0.008525149190110827,0.0015491958557298999,0.0,7.971014492753623,0.0542218549505465,0.0,False,True,Band 1: <= 0.001%
Ethiopia,7.41316558201467,0.007388462631429384,0.01442722918937701,0.0,6.908212560386473,0.5049530216281953,0.0,False,True,Band 2: 0.001% - 0.01%
Kenya,6.1053269370816,0.006251776072747941,0.007426180258922134,0.0,5.845410628019325,0.2599163090622747,0.0,False,False,Band 3: 0.01% - 0.1%
Madagascar,7.168542184116055,0.007388462631429384,0.00743798924941661,0.0,6.908212560386473,0.26032962372958135,0.0,False,True,Band 2: 0.001% - 0.01%
Malawi,6.950398667167541,0.007388462631429384,0.0012053173366019215,0.0,6.908212560386473,0.042186106781067254,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritius,7.6783368982982125,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,6.908212560386473,0.0008935686809693606,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Mozambique,7.26008263516899,0.007388462631429384,0.010053430708071904,0.0,6.908212560386473,0.3518700747825167,0.0,False,True,Band 2: 0.001% - 0.01%
Rwanda,6.919251288157888,0.007388462631429384,0.0003153922220404052,0.0,6.908212560386473,0.011038727771414184,0.0,False,True,Band 2: 0.001% - 0.01%
Seychelles,7.677649159158178,0.007388462631429384,5.880844026695841e-06,0.02564102564102564,6.908212560386473,0.00020582954093435448,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Somalia,7.188919308668557,0.007388462631429384,0.008020192808059497,0.0,6.908212560386473,0.2807067482820824,0.0,False,True,Band 2: 0.001% - 0.01%
South Sudan,7.190973129522662,0.007388462631429384,0.008078873403891093,0.0,6.908212560386473,0.28276056913618824,0.0,False,True,Band 2: 0.001% - 0.01%
Uganda,6.997936342012901,0.007388462631429384,0.002563536617897935,0.0,6.908212560386473,0.08972378162642773,0.0,False,True,Band 2: 0.001% - 0.01%
Zambia,7.240846522202103,0.007388462631429384,0.009503827480446567,0.0,6.908212560386473,0.33263396181562993,0.0,False,True,Band 2: 0.001% - 0.01%
Zimbabwe,7.0813107297570275,0.007388462631429384,0.004945661982015839,0.0,6.908212560386473,0.17309816937055436,0.0,False,False,Band 2: 0.001% - 0.01%
Angola,7.466055361870952,0.007388462631429384,0.01593836575669936,0.0,6.908212560386473,0.5578428014844777,0.0,False,True,Band 2: 0.001% - 0.01%
