party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Algeria,7.274095014334904,0.006251776072747941,0.030449220548135984,0.0,5.7516339869281055,1.5224610274067991,0.0,False,False,Band 3: 0.01% - 0.1%
Egypt,5.603633977348167,0.005399261153736857,0.012726274318205163,0.0,4.967320261437909,0.6363137159102581,0.0,False,False,Band 4: 0.1% - 1.0%
Libya,6.876370975920757,0.006251776072747941,0.022494739779853043,0.0,5.7516339869281055,1.1247369889926522,0.0,False,False,Band 3: 0.01% - 0.1%
Morocco,6.036918844440534,0.006251776072747941,0.005705697150248595,0.0,5.7516339869281055,0.2852848575124297,0.0,False,False,Band 3: 0.01% - 0.1%
Sudan,7.991452647205015,0.007388462631429384,0.023881340525799634,0.0,6.7973856209150325,1.1940670262899817,0.0,False,True,Band 2: 0.001% - 0.01%
Tunisia,5.8509435443180475,0.006251776072747941,0.0019861911477988387,0.0,5.7516339869281055,0.09930955738994195,0.0,False,False,Band 3: 0.01% - 0.1%
Burundi,7.859552480402564,0.008525149190110827,0.00032830451001206347,0.0,7.8431372549019605,0.016415225500603172,0.0,False,True,Band 1: <= 0.001%
Comoros,8.61355761660378,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,7.8431372549019605,0.0011895924710522783,0.7692307692307692,True,True,Band 1: <= 0.001%
Djibouti,6.812202790973599,0.007388462631429384,0.0002963434011713252,0.0,6.7973856209150325,0.014817170058566259,0.0,False,True,Band 2: 0.001% - 0.01%
Eritrea,7.920597047688456,0.008525149190110827,0.0015491958557298999,0.0,7.8431372549019605,0.07745979278649501,0.0,False,True,Band 1: <= 0.001%
Ethiopia,7.518747080383883,0.007388462631429384,0.01442722918937701,0.0,6.7973856209150325,0.7213614594688506,0.0,False,True,Band 2: 0.001% - 0.01%
Kenya,6.122942999874212,0.006251776072747941,0.007426180258922134,0.0,5.7516339869281055,0.37130901294610674,0.0,False,False,Band 3: 0.01% - 0.1%
Madagascar,7.169285083385863,0.007388462631429384,0.00743798924941661,0.0,6.7973856209150325,0.3718994624708305,0.0,False,True,Band 2: 0.001% - 0.01%
Malawi,6.8576514877451284,0.007388462631429384,0.0012053173366019215,0.0,6.7973856209150325,0.060265866830096076,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritius,7.567892916832901,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,6.7973856209150325,0.0012765266870990864,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Mozambique,7.300057156318627,0.007388462631429384,0.010053430708071904,0.0,6.7973856209150325,0.5026715354035951,0.0,False,True,Band 2: 0.001% - 0.01%
Rwanda,6.813155232017053,0.007388462631429384,0.0003153922220404052,0.0,6.7973856209150325,0.015769611102020263,0.0,False,True,Band 2: 0.001% - 0.01%
Seychelles,7.566910432347137,0.007388462631429384,5.880844026695841e-06,0.02564102564102564,6.7973856209150325,0.00029404220133479205,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Somalia,7.198395261318007,0.007388462631429384,0.008020192808059497,0.0,6.7973856209150325,0.4010096404029749,0.0,False,True,Band 2: 0.001% - 0.01%
South Sudan,7.201329291109587,0.007388462631429384,0.008078873403891093,0.0,6.7973856209150325,0.4039436701945547,0.0,False,True,Band 2: 0.001% - 0.01%
Uganda,6.925562451809929,0.007388462631429384,0.002563536617897935,0.0,6.7973856209150325,0.12817683089489676,0.0,False,True,Band 2: 0.001% - 0.01%
Zambia,7.272576994937361,0.007388462631429384,0.009503827480446567,0.0,6.7973856209150325,0.47519137402232836,0.0,False,True,Band 2: 0.001% - 0.01%
Zimbabwe,7.0446687200158244,0.007388462631429384,0.004945661982015839,0.0,6.7973856209150325,0.24728309910079196,0.0,False,False,Band 2: 0.001% - 0.01%
Angola,7.594303908750001,0.007388462631429384,0.01593836575669936,0.0,6.7973856209150325,0.796918287834968,0.0,False,True,Band 2: 0.001% - 0.01%
Cameroon,6.053800702130213,0.006251776072747941,0.006043334304042154,0.0,5.7516339869281055,0.30216671520210775,0.0,False,False,Band 3: 0.01% - 0.1%
Central African Republic,8.241359886614024,0.008525149190110827,0.00796445263424125,0.0,7.8431372549019605,0.3982226317120625,0.0,False,True,Band 1: <= 0.001%
Chad,7.602294185960186,0.007388462631429384,0.01609817130090305,0.0,6.7973856209150325,0.8049085650451525,0.0,False,True,Band 2: 0.001% - 0.01%
Congo,7.015679994297275,0.007388462631429384,0.004365887467644847,0.0,6.7973856209150325,0.21829437338224236,0.0,False,False,Band 2: 0.001% - 0.01%
Democratic Republic of the Congo,8.246534256862946,0.007388462631429384,0.028982972718958274,0.0,6.7973856209150325,1.4491486359479138,0.0,False,True,Band 2: 0.001% - 0.01%
Equatorial Guinea,6.815315802974686,0.007388462631429384,0.00035860364119308336,0.0,6.7973856209150325,0.01793018205965417,0.0,False,False,Band 2: 0.001% - 0.01%
Gabon,5.916342365227965,0.006251776072747941,0.0032941675659972115,0.0,5.7516339869281055,0.16470837829986057,0.0,False,False,Band 3: 0.01% - 0.1%
Botswana,6.113900371194337,0.006251776072747941,0.007245327685324639,0.0,5.7516339869281055,0.362266384266232,0.0,False,False,Band 3: 0.01% - 0.1%
Eswatini,6.808380242356247,0.007388462631429384,0.00021989242882427927,0.0,6.7973856209150325,0.010994621441213964,0.0,False,False,Band 2: 0.001% - 0.01%
Lesotho,7.862544040190057,0.008525149190110827,0.00038813570576192553,0.0,7.8431372549019605,0.01940678528809628,0.0,False,True,Band 1: <= 0.001%
Namibia,7.323650846864861,0.007388462631429384,0.010525304518996562,0.0,6.7973856209150325,0.5262652259498282,0.0,False,False,Band 2: 0.001% - 0.01%
South Africa,5.742754291910132,0.005399261153736857,0.015508680609444473,0.0,4.967320261437909,0.7754340304722237,0.0,False,False,Band 4: 0.1% - 1.0%
Benin,6.869464313572665,0.007388462631429384,0.0014415738531526588,0.0,6.7973856209150325,0.07207869265763295,0.0,False,True,Band 2: 0.001% - 0.01%
Burkina Faso,6.972276808491552,0.007388462631429384,0.003497823751530396,0.0,6.7973856209150325,0.17489118757651978,0.0,False,True,Band 2: 0.001% - 0.01%
Cabo Verde,8.614944089505293,0.008525149190110827,5.152130745127009e-05,0.02564102564102564,7.8431372549019605,0.0025760653725635046,0.7692307692307692,True,False,Band 1: <= 0.001%
Côte d’Ivoire,5.954906639155201,0.006251776072747941,0.004065453044541908,0.0,5.7516339869281055,0.2032726522270954,0.0,False,False,Band 3: 0.01% - 0.1%
Gambia,7.849606183331326,0.008525149190110827,0.0001293785685873085,0.0,7.8431372549019605,0.006468928429365426,0.0,False,True,Band 1: <= 0.001%
Ghana,5.897078126485298,0.006251776072747941,0.00290888279114388,0.0,5.7516339869281055,0.14544413955719399,0.0,False,False,Band 3: 0.01% - 0.1%
Guinea,6.954455294201956,0.007388462631429384,0.0031413934657384826,0.0,6.7973856209150325,0.15706967328692414,0.0,False,True,Band 2: 0.001% - 0.01%
Guinea-Bissau,8.63034295174476,0.008525149190110827,0.00035949855224062403,0.02564102564102564,7.8431372549019605,0.0179749276120312,0.7692307692307692,True,True,Band 1: <= 0.001%
Liberia,7.904707134972759,0.008525149190110827,0.0012313976014159639,0.0,7.8431372549019605,0.0615698800707982,0.0,False,True,Band 1: <= 0.001%
Mali,7.577358128842641,0.007388462631429384,0.01559945015855217,0.0,6.7973856209150325,0.7799725079276085,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritania,7.456231918558012,0.007388462631429384,0.013176925952859572,0.0,6.7973856209150325,0.6588462976429786,0.0,False,True,Band 2: 0.001% - 0.01%
Niger,7.607088352286295,0.007388462631429384,0.016194054627425264,0.0,6.7973856209150325,0.8097027313712633,0.0,False,True,Band 2: 0.001% - 0.01%
Nigeria,5.549504643415492,0.005399261153736857,0.011643687639551677,0.0,4.967320261437909,0.5821843819775838,0.0,False,False,Band 4: 0.1% - 1.0%
Senegal,6.92045506661718,0.007388462631429384,0.002461388914042935,0.0,6.7973856209150325,0.12306944570214678,0.0,False,True,Band 2: 0.001% - 0.01%
Sierra Leone,7.88927631162445,0.008525149190110827,0.0009227811344497952,0.0,7.8431372549019605,0.04613905672248976,0.0,False,True,Band 1: <= 0.001%
Togo,6.832152915111987,0.007388462631429384,0.0006953458839391017,0.0,6.7973856209150325,0.03476729419695509,0.0,False,True,Band 2: 0.001% - 0.01%
Antigua and Barbuda,7.5668976479036,0.007388462631429384,5.625155155969935e-06,0.02564102564102564,6.7973856209150325,0.00028125775779849673,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Barbados,7.566891255681832,0.007388462631429384,5.497310720606982e-06,0.02564102564102564,6.7973856209150325,0.00027486553603034913,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Cuba,5.802902292622051,0.005399261153736857,0.0013270252390674528,0.02564102564102564,4.967320261437909,0.06635126195337264,0.7692307692307692,True,False,Band 4: 0.1% - 1.0%
Dominica,8.61284744076534,0.008525149190110827,9.58833265222148e-06,0.02564102564102564,7.8431372549019605,0.000479416632611074,0.7692307692307692,True,False,Band 1: <= 0.001%
Dominican Republic,6.551673999421436,0.006251776072747941,0.0006161848652512319,0.02564102564102564,5.7516339869281055,0.030809243262561594,0.7692307692307692,True,False,Band 3: 0.01% - 0.1%
Grenada,8.612585359672845,0.008525149190110827,4.346710802340404e-06,0.02564102564102564,7.8431372549019605,0.00021733554011702023,0.7692307692307692,True,False,Band 1: <= 0.001%
Haiti,7.584233353338816,0.007388462631429384,0.00035233926386029864,0.02564102564102564,6.7973856209150325,0.017616963193014933,0.7692307692307692,True,True,Band 2: 0.001% - 0.01%
Jamaica,7.573539166320706,0.007388462631429384,0.00013845552349807817,0.02564102564102564,6.7973856209150325,0.006922776174903909,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Saint Kitts and Nevis,8.6125342218987,0.008525149190110827,3.32395531943678e-06,0.02564102564102564,7.8431372549019605,0.000166197765971839,0.7692307692307692,True,False,Band 1: <= 0.001%
Trinidad and Tobago,6.524143965925934,0.006251776072747941,6.558419534119492e-05,0.02564102564102564,5.7516339869281055,0.0032792097670597464,0.7692307692307692,True,False,Band 3: 0.01% - 0.1%
Belize,8.626948681985875,0.008525149190110827,0.0002916131570628959,0.02564102564102564,7.8431372549019605,0.014580657853144796,0.7692307692307692,True,False,Band 1: <= 0.001%
El Salvador,5.764878670431707,0.006251776072747941,0.00026489367007203875,0.0,5.7516339869281055,0.013244683503601938,0.0,False,False,Band 3: 0.01% - 0.1%
Guatemala,5.820133035395576,0.006251776072747941,0.001369980969349405,0.0,5.7516339869281055,0.06849904846747026,0.0,False,False,Band 3: 0.01% - 0.1%
Honduras,6.8689081902788365,0.007388462631429384,0.0014304513872760818,0.0,6.7973856209150325,0.07152256936380409,0.0,False,False,Band 2: 0.001% - 0.01%
Mexico,5.164184578070044,0.004262574595055414,0.02485231901238126,0.0,3.9215686274509802,1.242615950619063,0.0,False,False,Band 5: 1.0% - 10.0%
Nicaragua,6.874309617672921,0.007388462631429384,0.001538479935157777,0.0,6.7973856209150325,0.07692399675788886,0.0,False,False,Band 2: 0.001% - 0.01%
Argentina,6.716673200505109,0.005399261153736857,0.034987058781344005,0.0,4.967320261437909,1.7493529390672002,0.0,False,False,Band 4: 0.1% - 1.0%
Brazil,9.264277072373543,0.004262574595055414,0.10685416889845126,0.0,3.9215686274509802,5.342708444922563,0.0,False,False,Band 5: 1.0% - 10.0%
Colombia,5.676537266613891,0.005399261153736857,0.014184340103519643,0.0,4.967320261437909,0.7092170051759823,0.0,False,False,Band 4: 0.1% - 1.0%
Ecuador,5.91039120676182,0.006251776072747941,0.0031751443966743023,0.0,5.7516339869281055,0.15875721983371513,0.0,False,False,Band 3: 0.01% - 0.1%
Guyana,6.655830126571543,0.006251776072747941,0.002699307408253391,0.02564102564102564,5.7516339869281055,0.13496537041266954,0.7692307692307692,True,False,Band 3: 0.01% - 0.1%
Paraguay,6.004773658789539,0.006251776072747941,0.005062793437228683,0.0,5.7516339869281055,0.25313967186143416,0.0,False,False,Band 3: 0.01% - 0.1%
Peru,5.785524647760808,0.005399261153736857,0.016364087726457994,0.0,4.967320261437909,0.8182043863228997,0.0,False,False,Band 4: 0.1% - 1.0%
Suriname,7.669216414005337,0.007388462631429384,0.0020520004771907075,0.02564102564102564,6.7973856209150325,0.10260002385953539,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
Kazakhstan,6.69302837218473,0.005399261153736857,0.03451416221493644,0.0,4.967320261437909,1.725708110746822,0.0,False,False,Band 4: 0.1% - 1.0%
Kyrgyzstan,6.919988434428105,0.007388462631429384,0.0024520562702614397,0.0,6.7973856209150325,0.12260281351307199,0.0,False,False,Band 2: 0.001% - 0.01%
Tajikistan,6.886103266835154,0.007388462631429384,0.0017743529184024256,0.0,6.7973856209150325,0.08871764592012128,0.0,False,False,Band 2: 0.001% - 0.01%
Turkmenistan,6.052023664478667,0.006251776072747941,0.006007793551011253,0.0,5.7516339869281055,0.3003896775505627,0.0,False,False,Band 3: 0.01% - 0.1%
