party,total_allocation,iusaf_share,tsac_share,sosac_share,component_iusaf_amt,component_tsac_amt,component_sosac_amt,is_sids,is_ldc,un_band
Algeria,6.669158902450203,0.006251776072747941,0.030449220548135984,0.0,5.907928388746804,0.7612305137033996,0.0,False,False,Band 3: 0.01% - 0.1%
Egypt,5.420458648236459,0.005399261153736857,0.012726274318205163,0.0,5.10230179028133,0.31815685795512905,0.0,False,False,Band 4: 0.1% - 1.0%
Libya,6.4702968832431305,0.006251776072747941,0.022494739779853043,0.0,5.907928388746804,0.5623684944963261,0.0,False,False,Band 3: 0.01% - 0.1%
Morocco,6.050570817503019,0.006251776072747941,0.005705697150248595,0.0,5.907928388746804,0.14264242875621486,0.0,False,False,Band 3: 0.01% - 0.1%
Sudan,7.579130699845758,0.007388462631429384,0.023881340525799634,0.0,6.982097186700767,0.5970335131449909,0.0,False,True,Band 2: 0.001% - 0.01%
Tunisia,5.957583167441775,0.006251776072747941,0.0019861911477988387,0.0,5.907928388746804,0.04965477869497097,0.0,False,False,Band 3: 0.01% - 0.1%
Burundi,8.064473597405032,0.008525149190110827,0.00032830451001206347,0.0,8.05626598465473,0.008207612750301586,0.0,False,True,Band 1: <= 0.001%
Comoros,8.826091550121026,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,8.05626598465473,0.0005947962355261391,0.7692307692307692,True,True,Band 1: <= 0.001%
Djibouti,6.989505771730051,0.007388462631429384,0.0002963434011713252,0.0,6.982097186700767,0.007408585029283129,0.0,False,True,Band 2: 0.001% - 0.01%
Eritrea,8.094995881047979,0.008525149190110827,0.0015491958557298999,0.0,8.05626598465473,0.038729896393247504,0.0,False,True,Band 1: <= 0.001%
Ethiopia,7.3427779164351925,0.007388462631429384,0.01442722918937701,0.0,6.982097186700767,0.3606807297344253,0.0,False,True,Band 2: 0.001% - 0.01%
Kenya,6.093582895219857,0.006251776072747941,0.007426180258922134,0.0,5.907928388746804,0.18565450647305337,0.0,False,False,Band 3: 0.01% - 0.1%
Madagascar,7.1680469179361825,0.007388462631429384,0.00743798924941661,0.0,6.982097186700767,0.18594973123541525,0.0,False,True,Band 2: 0.001% - 0.01%
Malawi,7.012230120115816,0.007388462631429384,0.0012053173366019215,0.0,6.982097186700767,0.030132933415048038,0.0,False,True,Band 2: 0.001% - 0.01%
Mauritius,7.751966219275087,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,6.982097186700767,0.0006382633435495432,0.7692307692307692,True,False,Band 2: 0.001% - 0.01%
