Country,UN Share (%),Equal Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,0.5102,5.1,2.55,2.55
Canada,2.543,0.5102,5.1,2.55,2.55
Denmark,0.531,0.5102,5.1,2.55,2.55
Finland,0.386,0.5102,5.1,2.55,2.55
Japan,6.93,0.5102,5.1,2.55,2.55
New Zealand,0.302,0.5102,5.1,2.55,2.55
Norway,0.653,0.5102,5.1,2.55,2.55
Russian Federation,2.094,0.5102,5.1,2.55,2.55
Sweden,0.822,0.5102,5.1,2.55,2.55
Total,16.301,4.5918,45.92,22.96,22.96
