Country,UN Share (%),Band,Band Weight,IUSAF Share (%),Total Allocation (USD M),IPLC Component (USD M),State Component (USD M)
Australia,2.04,Band 5: 1.0% - 10.0%,0.75,0.4083,2.04,1.02,1.02
Canada,2.543,Band 5: 1.0% - 10.0%,0.75,0.4083,2.04,1.02,1.02
Denmark,0.531,Band 4: 0.1% - 1.0%,0.95,0.5171,2.59,1.29,1.29
Finland,0.386,Band 4: 0.1% - 1.0%,0.95,0.5171,2.59,1.29,1.29
Japan,6.93,Band 5: 1.0% - 10.0%,0.75,0.4083,2.04,1.02,1.02
New Zealand,0.302,Band 4: 0.1% - 1.0%,0.95,0.5171,2.59,1.29,1.29
Norway,0.653,Band 4: 0.1% - 1.0%,0.95,0.5171,2.59,1.29,1.29
Russian Federation,2.094,Band 5: 1.0% - 10.0%,0.75,0.4083,2.04,1.02,1.02
Sweden,0.822,Band 4: 0.1% - 1.0%,0.95,0.5171,2.59,1.29,1.29
Total,16.301,,,4.2188,21.09,10.55,10.55
